id,y_true, length
NC-000002_147299368_aligned_0_R_0_4459_0,0,4406
NC-000001_16054320_aligned_1_F_1_2283_12,0,2279
NC-000008_106391942_aligned_2_F_0_5351_0,0,5233
NC-000004_81560185_aligned_3_F_0_4476_0,0,4383
NC-000002_102487350_aligned_4_F_31_3503_14,0,3557
NC-000022_12443335_aligned_5_F_3_4064_0,0,4016
NC-000003_1945698_aligned_6_F_0_2918_0,0,2858
NC-000021_35844846_aligned_7_R_1_1027_1,0,1017
NC-000006_54548340_aligned_8_F_2_9681_1,0,9545
NC-000020_56834628_aligned_9_R_235_3236_75,0,3487
NC-000015_99047549_aligned_10_R_510_8524_815,0,9776
NC-000002_147210616_aligned_11_F_697_163_1803,0,2661
NC-000004_35671571_aligned_12_R_18_3932_0,0,3925
NC-000019_6016000_aligned_13_R_776_3902_5,0,4597
NC-000020_58305398_aligned_14_R_0_1792_0,0,1773
NC-000007_74051092_aligned_15_F_17_6283_2,0,6227
NC-000003_55191956_aligned_16_F_37_1274_1,0,1296
NC-000016_10943296_aligned_17_R_43_4860_27,0,4871
NT-187607_521629_aligned_18_F_26_4104_1,0,4073
NC-000007_69612959_aligned_19_F_20_13076_3,0,12971
NC-000006_9461971_aligned_20_F_9_2484_0,0,2442
NT-187631_44279_aligned_21_F_0_2187_0,0,2171
NC-000019_55090225_aligned_22_R_12_8134_34,0,8074
NW-018654708_181835_aligned_23_F_0_3348_0,0,3346
NC-000014_68783062_aligned_24_R_8_2644_3,0,2626
NC-000007_103906880_aligned_25_R_0_6151_0,0,6031
NC-000019_26143635_aligned_26_R_14_3729_0,0,3671
NC-000008_104394170_aligned_27_F_680_1879_67,0,2594
NC-000001_2972347_aligned_28_F_13_2573_6,0,2547
NC-000001_77733077_aligned_29_R_0_3227_0,0,3193
NC-000004_52763799_aligned_30_F_9_5790_10,0,5720
NC-000022_9361952_aligned_31_F_6_2824_1,0,2831
NT-113891_1595153_aligned_32_R_0_1492_0,0,1485
NC-000012_3903997_aligned_33_F_6_1670_20,0,1701
