id,y_true, length
NC-000006_63009356_aligned_0_R_9_960_10,0,944
NC-000011_56398104_aligned_1_R_33_1480_0,0,1504
NC-000003_197992286_aligned_2_F_2_1908_1,0,1900
NC-000021_17542137_aligned_3_R_2_719_2,0,712
NC-000013_78019313_aligned_4_F_0_361_0,0,363
NC-000010_121292751_aligned_5_R_18_3052_1,0,3021
NC-000013_38160918_aligned_6_F_0_6832_0,0,6744
NC-000007_3535507_aligned_7_F_35_1153_14,0,1169
NC-000005_163338702_aligned_8_F_1_4366_0,0,4260
NC-000014_10817068_aligned_9_R_6_2031_0,0,2025
NW-025791818_394968_aligned_10_F_0_2673_0,0,2659
NC-000005_95796996_aligned_11_F_2_2749_3,0,2738
NC-000016_59173506_aligned_12_R_2_2680_15,0,2614
NC-000019_1520167_aligned_13_R_35_3382_76,0,3489
NC-000014_51285135_aligned_14_R_0_527_0,0,534
NC-000006_57905559_aligned_15_R_9_2731_0,0,2701
NC-000014_46531680_aligned_16_F_0_4212_2,0,4165
NC-000011_84912033_aligned_17_R_21_3262_0,0,3232
NC-000006_113927195_aligned_18_R_3_6072_2,0,5961
NC-000015_57114637_aligned_19_F_1_3416_8,0,3410
NC-000001_131353183_aligned_20_F_0_1956_0,0,1953
NC-000012_105749301_aligned_21_F_0_4510_0,0,4463
NC-000001_103463602_aligned_22_R_31_3588_41,0,3600
NC-000002_52891383_aligned_23_R_1_8729_0,0,8601
NC-000018_54422870_aligned_24_F_0_4701_2,0,4612
NC-000015_12015956_aligned_25_R_0_5550_0,0,5495
NT-113891_1265860_aligned_26_F_19_3780_3,0,3802
NC-000005_179530614_aligned_27_F_49_8399_0,0,8386
NC-000013_53663734_aligned_28_F_17_4292_0,0,4183
NC-000002_241041097_aligned_29_F_1_2669_2,0,2655
NC-000011_71321785_aligned_30_R_1_2286_16,0,2291
NC-000018_40826588_aligned_31_R_27_1480_0,0,1508
NC-000018_41394194_aligned_32_F_1_1596_6,0,1538
NC-000002_190535404_aligned_33_F_46_6291_0,0,6296
NC-000016_50578170_aligned_34_F_0_988_0,0,980
NC-000014_89282494_aligned_35_F_3_103_15,0,124
NC-000018_59120622_aligned_36_F_16_2300_0,0,2295
NC-000009_98104962_aligned_37_R_0_1657_0,0,1632
NC-000008_29139107_aligned_38_R_0_2174_0,0,2136
NC-000016_3454355_aligned_39_R_4_1786_5,0,1786
NC-000024_51701973_aligned_40_R_0_572_0,0,562
NC-000012_103171713_aligned_41_F_8_4015_13,0,4033
NC-000020_51601825_aligned_42_F_58_3988_2,0,3994
NW-025791777_1556273_aligned_43_F_0_6374_6,0,6353
NC-000002_52288454_aligned_44_F_162_3022_6,0,3156
NC-000016_50170472_aligned_45_R_0_6509_0,0,6450
NC-000006_93168746_aligned_46_R_1_4460_0,0,4390
NC-000016_33264792_aligned_47_F_45_2068_0,0,2079
NC-000001_241984552_aligned_48_F_14_5126_1,0,5093
NC-000017_60115680_aligned_49_R_13_1860_0,0,1867
NC-000009_85615702_aligned_50_R_6_6425_0,0,6357
NC-000012_90005001_aligned_51_R_5_629_0,0,642
NC-000018_15901975_aligned_52_R_0_3831_0,0,3790
NW-015495299_422192_aligned_53_R_5_4056_9,0,4022
NC-000002_32261605_aligned_54_F_15_3379_0,0,3371
NC-000007_28034385_aligned_55_F_15_6326_0,0,6272
NC-000004_181487703_aligned_56_R_18_1317_5,0,1311
NC-000018_41005154_aligned_57_R_10_2195_5,0,2198
NC-000021_16731878_aligned_58_F_2_5065_18,0,5017
NC-000003_144619142_aligned_59_R_1_1050_0,0,1034
NC-000009_72115984_aligned_60_F_13_1675_8,0,1670
NC-000004_183975419_aligned_61_F_16_1082_50,0,1152
NC-000011_36119092_aligned_62_F_0_3496_0,0,3475
NC-000010_82930603_aligned_63_F_1_3383_0,0,3366
NC-000023_63139592_aligned_64_R_1_1259_0,0,1245
NT-187536_160105_aligned_65_R_29_5727_2,0,5632
NC-000016_23273062_aligned_66_R_372_2620_220,0,3201
NC-000011_8844749_aligned_67_R_11_2310_41,0,2333
NC-000001_160814179_aligned_68_F_0_1389_0,0,1343
NC-000014_96443640_aligned_69_R_3_6779_81,0,6771
NC-000009_109773523_aligned_70_R_0_1724_0,0,1700
NC-000013_60037429_aligned_71_F_31_2059_0,0,2077
NC-000008_22199821_aligned_72_F_6_1460_6,0,1457
NC-000020_41751591_aligned_73_R_14_2503_120,0,2632
NC-000020_40563889_aligned_74_R_40_4517_0,0,4499
NC-000014_89754573_aligned_75_R_26_2838_0,0,2806
NC-000004_143424112_aligned_76_R_8_3060_0,0,3109
NC-000001_248357133_aligned_77_R_0_6697_0,0,6607
NC-000006_156737666_aligned_78_R_3_3089_0,0,3026
NC-000005_34566218_aligned_79_F_77_1986_1,0,2009
NC-000013_21896577_aligned_80_R_10_1598_5,0,1568
NW-025791762_201793_aligned_81_R_0_4313_0,0,4226
NC-000016_32287039_aligned_82_F_865_4762_802,0,6378
NC-000002_220846640_aligned_83_F_66_751_0,0,813
NC-000020_20672280_aligned_84_F_0_2806_0,0,2761
NC-000001_77364061_aligned_85_R_320_3481_137,0,3908
NC-000008_51641073_aligned_86_F_5_1840_29,0,1856
NC-000016_30683523_aligned_87_F_19_334_33,0,385
NC-000019_15648995_aligned_88_R_30_3233_5,0,3194
NC-000018_40341340_aligned_89_R_20_9540_0,0,9516
NC-000013_96548758_aligned_90_F_6_4227_13,0,4227
NC-000006_33416418_aligned_91_F_11_16540_20,0,16382
NC-000010_69280386_aligned_92_F_14_2043_14,0,2067
NC-000009_32262640_aligned_93_R_66_5650_352,0,6031
NC-000007_93793713_aligned_94_F_269_5708_13,0,5868
NC-000015_83051026_aligned_95_F_1_4200_0,0,4168
NW-003315919_109330_aligned_96_R_34_3897_3,0,3872
NC-000001_104633598_aligned_97_R_19_4447_0,0,4398
NC-000018_41281172_aligned_98_R_41_7660_77,0,7662
NC-000002_43009359_aligned_99_F_10_8175_211,0,8277
NC-000001_32949140_aligned_100_F_12_2663_33,0,2652
NC-000002_138683106_aligned_101_R_29_3412_2,0,3389
NC-000007_85121982_aligned_102_F_44_1534_1,0,1549
NC-000011_102473602_aligned_103_F_19_3379_24,0,3386
NC-000003_136751370_aligned_104_R_30_3115_22,0,3113
NC-000004_130759089_aligned_105_R_8_8405_1495,0,9743
NC-000010_75477123_aligned_106_F_4_2133_0,0,2091
NC-000022_10348365_aligned_107_F_6_8219_0,0,8161
NC-000006_166080316_aligned_108_R_21_8637_0,0,8520
NC-000011_7308902_aligned_109_R_15_5471_0,0,5455
NC-000002_54570344_aligned_110_R_25_4361_2,0,4315
NW-018654714_136487_aligned_111_F_39_1903_5,0,1914
NC-000024_25568985_aligned_112_R_17_5412_13,0,5386
