GCA_000001985.fasta,1909
GCA_000002495.fasta,2731
GCA_000002515.fasta,712
GCA_000002525.fasta,1366
GCA_000002545.fasta,821
GCA_000002655.fasta,1958
GCA_000002715.fasta,1857
GCA_000002855.fasta,2265
GCA_000002945.fasta,839
GCA_000003125.fasta,2379
GCA_000003515.fasta,1489
GCA_000003525.fasta,4440
GCA_000003835.fasta,807
GCA_000003855.fasta,5026
GCA_000004155.fasta,770
GCA_000006255.fasta,6059
GCA_000006275.fasta,2456
GCA_000006335.fasta,975
GCA_000006445.fasta,810
GCA_000011425.fasta,1988
GCA_000026365.fasta,650
GCA_000026945.fasta,974
GCA_000027005.fasta,614
GCA_000091025.fasta,607
GCA_000091045.fasta,1270
GCA_000091065.fasta,39
GCA_000091225.fasta,166
GCA_000142805.fasta,692
GCA_000143105.fasta,1986
GCA_000143125.fasta,1968
GCA_000143185.fasta,2578
GCA_000143365.fasta,2325
GCA_000143535.fasta,2842
GCA_000143565.fasta,4325
GCA_000145635.fasta,2917
GCA_000146045.fasta,804
GCA_000146465.fasta,147
GCA_000146915.fasta,2480
GCA_000146945.fasta,2563
GCA_000147375.fasta,1770
GCA_000149035.fasta,3442
GCA_000149205.fasta,2018
GCA_000149225.fasta,769
GCA_000149245.fasta,1261
GCA_000149305.fasta,3076
GCA_000149335.fasta,1934
GCA_000149365.fasta,782
GCA_000149385.fasta,1313
GCA_000149425.fasta,707
GCA_000149445.fasta,964
GCA_000149555.fasta,2792
GCA_000149585.fasta,2202
GCA_000149615.fasta,1957
GCA_000149645.fasta,2091
GCA_000149685.fasta,1036
GCA_000149775.fasta,1434
GCA_000149815.fasta,1852
GCA_000149845.fasta,782
GCA_000149865.fasta,1593
GCA_000149895.fasta,1927
GCA_000149925.fasta,5914
GCA_000149955.fasta,4098
GCA_000149985.fasta,2533
GCA_000150035.fasta,978
GCA_000150055.fasta,1880
GCA_000150085.fasta,1847
GCA_000150115.fasta,2032
GCA_000150145.fasta,1947
GCA_000150185.fasta,1861
GCA_000150215.fasta,1699
GCA_000150245.fasta,1912
GCA_000150475.fasta,1937
GCA_000150505.fasta,775
GCA_000150555.fasta,1777
GCA_000150585.fasta,1745
GCA_000150615.fasta,1823
GCA_000150645.fasta,1852
GCA_000150675.fasta,2260
GCA_000150705.fasta,2195
GCA_000150735.fasta,1996
GCA_000150825.fasta,2190
GCA_000150975.fasta,1551
GCA_000151005.fasta,2529
GCA_000151035.fasta,2597
GCA_000151065.fasta,7915
GCA_000151125.fasta,1481
GCA_000151145.fasta,1550
GCA_000151175.fasta,1610
GCA_000151295.fasta,3804
GCA_000151335.fasta,1800
GCA_000151355.fasta,3419
GCA_000151425.fasta,1502
GCA_000151455.fasta,1532
GCA_000151485.fasta,796
